cortexa-backend  | ts=2026-08-03T17:06:20+0000 level=INFO logger=cortexa.access request_id=111b2277-2b72-4d05-a423-1b8ca106d24d msg=request_completed method=OPTIONS path=/api/v1/conversations status_code=200 duration_ms=3.77
cortexa-backend  | ts=2026-08-03T17:06:20+0000 level=INFO logger=cortexa.conversations request_id=c46d22c4-331a-4fa1-ab12-40b7dfc7fe42 msg=conversation_created user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c conversation_id=a154423a-e5bf-483b-a557-b09a743e669d request_id=c46d22c4-331a-4fa1-ab12-40b7dfc7fe42
cortexa-backend  | ts=2026-08-03T17:06:20+0000 level=INFO logger=cortexa.access request_id=c46d22c4-331a-4fa1-ab12-40b7dfc7fe42 msg=request_completed method=POST path=/api/v1/conversations status_code=201 duration_ms=55.84
cortexa-backend  | ts=2026-08-03T17:06:20+0000 level=INFO logger=cortexa.access request_id=b741c9a4-4dad-4e49-9241-ea4ba0c3b667 msg=request_completed method=OPTIONS path=/api/v1/conversations/a154423a-e5bf-483b-a557-b09a743e669d/messages/stream status_code=200 duration_ms=0.08
cortexa-backend  | ts=2026-08-03T17:06:20+0000 level=INFO logger=cortexa.messages request_id=52e07742-ff2d-4cf7-8bb4-5c36e80f47af msg=user_message_accepted user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c conversation_id=a154423a-e5bf-483b-a557-b09a743e669d message_id=05bda328-dfd5-4157-b945-74f049762cd8 content_length=199 request_id=52e07742-ff2d-4cf7-8bb4-5c36e80f47af
cortexa-backend  | ts=2026-08-03T17:06:20+0000 level=INFO logger=cortexa.chat request_id=52e07742-ff2d-4cf7-8bb4-5c36e80f47af msg=stream_started user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c conversation_id=a154423a-e5bf-483b-a557-b09a743e669d message_id=3aeaea12-ef58-4c7e-af3d-ed1cd862e1c3 request_id=52e07742-ff2d-4cf7-8bb4-5c36e80f47af
cortexa-backend  | ts=2026-08-03T17:06:20+0000 level=INFO logger=cortexa.retrieval request_id=52e07742-ff2d-4cf7-8bb4-5c36e80f47af msg=retrieval_start user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c top_k=5 document_filter_count=0 request_id=52e07742-ff2d-4cf7-8bb4-5c36e80f47af
cortexa-backend  | ts=2026-08-03T17:06:24+0000 level=INFO logger=cortexa.retrieval request_id=52e07742-ff2d-4cf7-8bb4-5c36e80f47af msg=retrieval_complete user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c retrieval_count=1 request_id=52e07742-ff2d-4cf7-8bb4-5c36e80f47af
cortexa-backend  | ts=2026-08-03T17:06:24+0000 level=INFO logger=cortexa.chat request_id=52e07742-ff2d-4cf7-8bb4-5c36e80f47af msg=retrieval_count user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c conversation_id=a154423a-e5bf-483b-a557-b09a743e669d retrieval_count=1 retrieval_ms=4243.92 request_id=52e07742-ff2d-4cf7-8bb4-5c36e80f47af
cortexa-backend  | ts=2026-08-03T17:06:24+0000 level=ERROR logger=cortexa.api.conversations request_id=52e07742-ff2d-4cf7-8bb4-5c36e80f47af msg=conversation_stream_unexpected_failure
cortexa-backend  | ts=2026-08-03T17:06:24+0000 level=INFO logger=cortexa.access request_id=52e07742-ff2d-4cf7-8bb4-5c36e80f47af msg=request_completed method=POST path=/api/v1/conversations/a154423a-e5bf-483b-a557-b09a743e669d/messages/stream status_code=200 duration_ms=4278.58
