cortexa-backend  | INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
cortexa-backend  | INFO  [alembic.runtime.migration] Will assume transactional DDL.
cortexa-backend  | cortexa: migrations applied successfully
cortexa-backend  | INFO:     Started server process [26]
cortexa-backend  | INFO:     Waiting for application startup.
cortexa-backend  | ts=2026-08-04T05:13:10+0000 level=INFO logger=cortexa.lifespan request_id=- msg=starting_application name=Cortexa AI Agent Platform version=0.1.0 env=development llm_provider=ollama embedding_provider=ollama
cortexa-backend  | ts=2026-08-04T05:13:10+0000 level=WARNING logger=cortexa.lifespan request_id=- msg=agent_stale_runs_recovered count=1
cortexa-backend  | INFO:     Application startup complete.
cortexa-backend  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
cortexa-backend  | ts=2026-08-04T05:13:12+0000 level=INFO logger=cortexa.access request_id=3529783a-13ee-40d9-bb1d-8f84c5f9a2e5 msg=request_completed method=GET path=/health status_code=200 duration_ms=0.49
cortexa-backend  | ts=2026-08-04T05:13:27+0000 level=INFO logger=cortexa.access request_id=a3e11ac8-acc1-476f-86ae-de45d80b3920 msg=request_completed method=GET path=/health status_code=200 duration_ms=5.54
cortexa-backend  | ts=2026-08-04T05:13:33+0000 level=INFO logger=cortexa.auth request_id=edbc0c63-2e05-431a-9c4d-bcc4d0efaa1c msg=refresh_success user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c
cortexa-backend  | ts=2026-08-04T05:13:33+0000 level=INFO logger=cortexa.access request_id=edbc0c63-2e05-431a-9c4d-bcc4d0efaa1c msg=request_completed method=POST path=/api/v1/auth/refresh status_code=200 duration_ms=67.51
cortexa-backend  | ts=2026-08-04T05:13:33+0000 level=INFO logger=cortexa.access request_id=d5a968e4-c0e1-4283-bc57-2009813e30aa msg=request_completed method=OPTIONS path=/api/v1/agent-runs status_code=200 duration_ms=0.13
cortexa-backend  | ts=2026-08-04T05:13:33+0000 level=INFO logger=cortexa.access request_id=9c041745-45f5-49f2-8259-25b66a438532 msg=request_completed method=OPTIONS path=/api/v1/agent-runs status_code=200 duration_ms=0.06
cortexa-backend  | ts=2026-08-04T05:13:33+0000 level=INFO logger=cortexa.access request_id=7e56186e-dbf2-4f00-8c4d-607f2489789d msg=request_completed method=GET path=/api/v1/agent-runs status_code=200 duration_ms=45.13
cortexa-backend  | ts=2026-08-04T05:13:33+0000 level=INFO logger=cortexa.access request_id=9d1b66d3-cb44-48d7-8524-aef4b46048b5 msg=request_completed method=GET path=/api/v1/agent-runs status_code=200 duration_ms=65.22
cortexa-backend  | ts=2026-08-04T05:13:37+0000 level=INFO logger=cortexa.auth request_id=82c2d56b-868c-4257-86d5-7176ee530b25 msg=refresh_success user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c
cortexa-backend  | ts=2026-08-04T05:13:37+0000 level=INFO logger=cortexa.access request_id=82c2d56b-868c-4257-86d5-7176ee530b25 msg=request_completed method=POST path=/api/v1/auth/refresh status_code=200 duration_ms=8.21
cortexa-backend  | ts=2026-08-04T05:13:37+0000 level=INFO logger=cortexa.access request_id=91a49f7b-f33b-43e4-97a4-8f7b7afe3132 msg=request_completed method=OPTIONS path=/api/v1/agent-runs status_code=200 duration_ms=0.07
cortexa-backend  | ts=2026-08-04T05:13:37+0000 level=INFO logger=cortexa.access request_id=39c790b5-d597-4e63-abe4-1cfa4c314e89 msg=request_completed method=OPTIONS path=/api/v1/agent-runs status_code=200 duration_ms=0.03
cortexa-backend  | ts=2026-08-04T05:13:37+0000 level=INFO logger=cortexa.access request_id=aaeef88e-3600-4036-aae9-8aea3421033c msg=request_completed method=GET path=/api/v1/agent-runs status_code=200 duration_ms=10.14
cortexa-backend  | ts=2026-08-04T05:13:37+0000 level=INFO logger=cortexa.access request_id=8ffa2bbc-5a7c-4f31-982d-f3148ddb613f msg=request_completed method=GET path=/api/v1/agent-runs status_code=200 duration_ms=9.58
cortexa-backend  | ts=2026-08-04T05:13:41+0000 level=INFO logger=cortexa.auth request_id=26a69c95-2e81-4677-99be-f1ad520dd6dc msg=refresh_success user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c
cortexa-backend  | ts=2026-08-04T05:13:41+0000 level=INFO logger=cortexa.access request_id=26a69c95-2e81-4677-99be-f1ad520dd6dc msg=request_completed method=POST path=/api/v1/auth/refresh status_code=200 duration_ms=13.11
cortexa-backend  | ts=2026-08-04T05:13:41+0000 level=INFO logger=cortexa.access request_id=6a5396f8-c795-4d0c-811d-32edf783e767 msg=request_completed method=OPTIONS path=/api/v1/agent-runs status_code=200 duration_ms=0.11
cortexa-backend  | ts=2026-08-04T05:13:41+0000 level=INFO logger=cortexa.access request_id=89fa8590-fe3b-441e-8220-36b53fb387f7 msg=request_completed method=OPTIONS path=/api/v1/agent-runs status_code=200 duration_ms=0.04
cortexa-backend  | ts=2026-08-04T05:13:41+0000 level=INFO logger=cortexa.access request_id=77a0acdb-7c91-4d61-8cd7-e29ad075e696 msg=request_completed method=GET path=/api/v1/agent-runs status_code=200 duration_ms=10.86
cortexa-backend  | ts=2026-08-04T05:13:41+0000 level=INFO logger=cortexa.access request_id=71b6a559-3a48-4358-b2e3-72a4d04b46b5 msg=request_completed method=GET path=/api/v1/agent-runs status_code=200 duration_ms=11.73
cortexa-backend  | ts=2026-08-04T05:13:43+0000 level=INFO logger=cortexa.access request_id=8f73e4ef-783e-44d6-8743-6a0dedd0a76c msg=request_completed method=GET path=/health status_code=200 duration_ms=0.61
cortexa-backend  | ts=2026-08-04T05:13:53+0000 level=INFO logger=cortexa.access request_id=3edd02a8-4041-4fa2-99c2-45d1a9dfffbd msg=request_completed method=OPTIONS path=/api/v1/conversations status_code=200 duration_ms=1.19
cortexa-backend  | ts=2026-08-04T05:13:53+0000 level=INFO logger=cortexa.conversations request_id=bcadc3d8-b6bc-430b-9857-d9460b674cae msg=conversation_created user_id=e9b2bc2d-91de-4232-b98a-4e247bdae61c conversation_id=d8c48118-1012-4bd2-8fbb-50af4771b860 request_id=bcadc3d8-b6bc-430b-9857-d9460b674cae
